"","RD_NO","DATEOCC","IUCR_CODE","Offense","CLASS","Motivations","CPD.Area","DISTRICT","Community","WARD","DISPOSITION","X","violent_crime"
"497","JC166424","2/25/2019 12:00:00 AM","2825","OTHER OFFENSE: HARASSMENT BY TELEPHONE","B - RELIGION"," ANTI-JEWISH","North",24,"WEST RIDGE",50,"BONA FIDE",NA,0
"498","JC167593","2/27/2019 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","Central",8,"GARFIELD RIDGE",23,"BONA FIDE",NA,0
"499","JC168251","2/16/2019 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-ASIAN","Central",1,"LOOP",2,"BONA FIDE",NA,1
"500","JC168717","2/28/2019 12:00:00 AM","5080","NON-CRIMINAL: OTHER NON-CRIMINAL PERSONS","B - RELIGION"," ANTI-JEWISH","Central",18,"NEAR NORTH SIDE",42,"BONA FIDE",NA,0
"501","JC168936","2/28/2019 12:00:00 AM","479","BATTERY: AGG: HANDS/FIST/FEET SERIOUS INJURY","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","North",16,"PORTAGE PARK",45,"BONA FIDE",NA,1
"502","JC182963","3/12/2019 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-MULTIPLE RACES/GROUP","North",24,"WEST RIDGE",50,"BONA FIDE",NA,1
"503","JC208592","3/31/2019 12:00:00 AM","320","ROBBERY: STRONGARM - NO WEAPON","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",25,"AUSTIN",37,"BONA FIDE",NA,1
"504","JC209908","3/29/2019 12:00:00 AM","1375","CRIMINAL DAMAGE: INSTITUTIONAL VANDALISM","B - RELIGION","ANTI-ISLAMIC/MUSLIM","North",24,"EDGEWATER",48,"BONA FIDE",NA,0
"505","JC212643","4/5/2019 12:00:00 AM","2825","OTHER OFFENSE: HARASSMENT BY TELEPHONE","B - RELIGION"," ANTI-JEWISH","North",24,"EDGEWATER",48,"BONA FIDE",NA,0
"506","JC212686","4/5/2019 12:00:00 AM","2820","OTHER OFFENSE: TELEPHONE THREAT","B - RELIGION"," ANTI-JEWISH","North",19,"LAKE VIEW",46,"BONA FIDE",NA,0
"507","JC218949","4/10/2019 12:00:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","North",11,"HUMBOLDT PARK",27,"BONA FIDE",NA,0
"508","JC227141","4/15/2019 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",19,"LAKE VIEW",44,"BONA FIDE",NA,0
"509","JC227553","4/17/2019 12:00:00 AM","1320","CRIMINAL DAMAGE: TO VEHICLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",17,"NORTH PARK",39,"BONA FIDE",NA,0
"510","JC257201","5/9/2019 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","B - RELIGION"," ANTI-JEWISH","North",16,"NORWOOD PARK",41,"BONA FIDE",NA,0
"511","JC258633","5/11/2019 12:00:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","B - RELIGION"," ANTI-JEWISH","North",16,"JEFFERSON PARK",45,"BONA FIDE",NA,0
"512","JC259256","5/7/2019 12:00:00 AM","2826","OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","South",22,"MORGAN PARK",19,"BONA FIDE",NA,0
"513","JC263533","5/14/2019 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","South",4,"SOUTH SHORE",7,"BONA FIDE",NA,1
"514","JC264979","5/16/2019 12:00:00 AM","051A","ASSAULT: AGGRAVATED: HANDGUN","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","North",19,"LAKE VIEW",44,"BONA FIDE",NA,1
"515","JC266018","5/16/2019 12:00:00 AM","5091","NON-CRIMINAL: DAM REAL PROP:FIRE/EXPLOSION","B - RELIGION"," ANTI-OTHER CHRISTIAN","South",6,"CHATHAM",8,"BONA FIDE",NA,0
"516","JC266410","5/17/2019 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",12,"NEAR WEST SIDE",2,"BONA FIDE",NA,1
"517","JC266410","5/17/2019 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",12,"NEAR WEST SIDE",27,"BONA FIDE",NA,1
"518","JC268020","5/18/2019 12:00:00 AM","1320","CRIMINAL DAMAGE: TO VEHICLE","B - RELIGION"," ANTI-JEWISH","North",24,"WEST RIDGE",50,"BONA FIDE",NA,0
"519","JC268024","5/18/2019 12:00:00 AM","1320","CRIMINAL DAMAGE: TO VEHICLE","B - RELIGION"," ANTI-JEWISH","North",24,"WEST RIDGE",50,"BONA FIDE",NA,0
"520","JC268050","5/18/2019 12:00:00 AM","1320","CRIMINAL DAMAGE: TO VEHICLE","B - RELIGION"," ANTI-JEWISH","North",24,"WEST RIDGE",50,"BONA FIDE",NA,0
"521","JC269349","5/19/2019 12:00:00 AM","1090","ARSON: ATTEMPT ARSON","B - RELIGION"," ANTI-JEWISH","North",19,"LAKE VIEW",44,"BONA FIDE",NA,1
"522","JC269903","5/12/2019 12:00:00 AM","5080","NON-CRIMINAL: OTHER NON-CRIMINAL PERSONS","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",16,"DUNNING",38,"BONA FIDE",NA,0
"523","JC280122","5/26/2019 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",9,"BRIDGEPORT",11,"BONA FIDE",NA,1
"524","JC285491","5/29/2019 12:00:00 AM","5080","NON-CRIMINAL: OTHER NON-CRIMINAL PERSONS","B - RELIGION"," ANTI-JEWISH","North",17,"ALBANY PARK",39,"BONA FIDE",NA,0
"525","JC286983","5/31/2019 12:00:00 AM","552","ASSAULT: AGGRAVATED PO:KNIFE/CUT INSTR","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",19,"LAKE VIEW",44,"BONA FIDE",NA,1
"526","JC289366","6/2/2019 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","North",16,"PORTAGE PARK",38,"BONA FIDE",NA,1
"527","JC295848","6/7/2019 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","B - RELIGION"," ANTI-CATHOLIC","North",14,"LOGAN SQUARE",32,"BONA FIDE",NA,0
"528","JC296427","6/7/2019 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","A - RACE/ETHNICITY/ANCESTRY","ANTI-MULTIPLE RACES/GROUP","North",24,"WEST RIDGE",50,"BONA FIDE",NA,0
"529","JC306049","6/14/2019 12:00:00 AM","560","ASSAULT: SIMPLE","F - GENDER IDENTITY"," ANTI-TRANSGENDER","North",19,"UPTOWN",46,"BONA FIDE",NA,1
"530","JC313571","6/19/2019 12:00:00 AM","560","ASSAULT: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY/LESBIAN/BISEXUAL/TRANSGENDER (MIXED GROUP)","North",19,"LAKE VIEW",46,"BONA FIDE",NA,1
"531","JC318810","6/23/2019 12:00:00 AM","484","BATTERY: PRO EMP HANDS NO/MIN INJURY","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","South",4,"SOUTH CHICAGO",8,"BONA FIDE",NA,1
"532","JC318824","6/23/2019 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","C - SEXUAL ORIENTATION"," ANTI-GAY/LESBIAN/BISEXUAL/TRANSGENDER (MIXED GROUP)","North",14,"WEST TOWN",1,"BONA FIDE",NA,0
"533","JC318824","6/23/2019 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","C - SEXUAL ORIENTATION"," ANTI-GAY/LESBIAN/BISEXUAL/TRANSGENDER (MIXED GROUP)","North",14,"WEST TOWN",32,"BONA FIDE",NA,0
"534","JC320176","6/22/2019 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","C - SEXUAL ORIENTATION"," ANTI-GAY/LESBIAN/BISEXUAL/TRANSGENDER (MIXED GROUP)","North",19,"LAKE VIEW",44,"BONA FIDE",NA,0
"535","JC322221","6/26/2019 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","South",4,"SOUTH DEERING",10,"BONA FIDE",NA,1
"536","JC323996","6/26/2019 12:00:00 AM","470","PUBLIC PEACE VIOLATION: RECKLESS CONDUCT","C - SEXUAL ORIENTATION"," ANTI-GAY/LESBIAN/BISEXUAL/TRANSGENDER (MIXED GROUP)","",61,"",0,"BONA FIDE",NA,0
"537","JC326544","6/28/2019 12:00:00 AM","460","BATTERY: SIMPLE","F - GENDER IDENTITY"," ANTI-TRANSGENDER","Central",3,"SOUTH SHORE",5,"BONA FIDE",NA,1
"538","JC328536","6/30/2019 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","Central",1,"NEAR WEST SIDE",2,"BONA FIDE",NA,1
"539","JC329394","6/30/2019 12:00:00 AM","051A","ASSAULT: AGGRAVATED: HANDGUN","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","Central",1,"LOOP",42,"BONA FIDE",NA,1
"540","JC331259","7/1/2019 12:00:00 AM","1345","CRIMINAL DAMAGE: TO CITY OF CHICAGO PROPERTY","A - RACE/ETHNICITY/ANCESTRY","ANTI-MULTIPLE RACES/GROUP","North",20,"UPTOWN",48,"BONA FIDE",NA,0
"541","JC336883","7/6/2019 12:00:00 AM","337","ROBBERY: ATTEMPT: ARMED-OTHER DANG WEAP","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","Central",18,"LINCOLN PARK",43,"BONA FIDE",NA,1
"542","JC345308","7/12/2019 12:00:00 AM","5080","NON-CRIMINAL: OTHER NON-CRIMINAL PERSONS","B - RELIGION"," ANTI-CATHOLIC","Central",1,"NEAR WEST SIDE",27,"BONA FIDE",NA,0
"543","JC349892","7/9/2019 12:00:00 AM","560","ASSAULT: SIMPLE","F - GENDER IDENTITY"," ANTI-TRANSGENDER","Central",12,"NEAR WEST SIDE",2,"BONA FIDE",NA,1
"544","JC359158","7/22/2019 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","Central",1,"LOOP",42,"BONA FIDE",NA,1
"545","JC361698","7/23/2019 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","Central",1,"LOOP",2,"BONA FIDE",NA,1
"546","JC361718","7/23/2019 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","South",6,"CHATHAM",17,"BONA FIDE",NA,1
"547","JC372062","7/31/2019 12:00:00 AM","1320","CRIMINAL DAMAGE: TO VEHICLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",19,"LAKE VIEW",47,"BONA FIDE",NA,0
"548","JC372120","7/31/2019 12:00:00 AM","558","ASSAULT: AGG PRO.EMP: OTHER DANG WEAPON","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","South",7,"ENGLEWOOD",6,"BONA FIDE",NA,1
"549","JC372170","7/30/2019 12:00:00 AM","320","ROBBERY: STRONGARM - NO WEAPON","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","South",6,"GREATER GRAND CROSSING",6,"BONA FIDE",NA,1
"550","JC374203","8/1/2019 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","B - RELIGION"," ANTI-JEWISH","North",14,"WEST TOWN",1,"BONA FIDE",NA,0
"551","JC387482","8/10/2019 12:00:00 AM","320","ROBBERY: STRONGARM - NO WEAPON","C - SEXUAL ORIENTATION"," ANTI-GAY/LESBIAN/BISEXUAL/TRANSGENDER (MIXED GROUP)","Central",1,"NEAR SOUTH SIDE",2,"BONA FIDE",NA,1
"552","JC399111","8/19/2019 12:00:00 AM","5080","NON-CRIMINAL: OTHER NON-CRIMINAL PERSONS","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","Central",18,"NEAR NORTH SIDE",42,"BONA FIDE",NA,0
"553","JC399454","8/19/2019 12:00:00 AM","051A","ASSAULT: AGGRAVATED: HANDGUN","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",17,"ALBANY PARK",33,"BONA FIDE",NA,1
"554","JC407135","8/25/2019 12:00:00 AM","5080","NON-CRIMINAL: OTHER NON-CRIMINAL PERSONS","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","South",4,"EAST SIDE",10,"BONA FIDE",NA,0
"555","JC419593","9/4/2019 12:00:00 AM","420","BATTERY: AGGRAVATED:KNIFE/CUTTING INSTR","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","South",6,"AUBURN GRESHAM",21,"BONA FIDE",NA,1
"556","JC429462","9/11/2019 12:00:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","C - SEXUAL ORIENTATION"," ANTI-GAY/LESBIAN/BISEXUAL/TRANSGENDER (MIXED GROUP)","North",24,"ROGERS PARK",40,"BONA FIDE",NA,0
"557","JC430394","9/12/2019 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",8,"ASHBURN",18,"BONA FIDE",NA,1
"558","JC430433","9/11/2019 12:00:00 AM","1365","CRIMINAL TRESPASS: TO RESIDENCE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-ARAB","Central",18,"NEAR NORTH SIDE",2,"BONA FIDE",NA,0
"559","JC430433","9/11/2019 12:00:00 AM","1365","CRIMINAL TRESPASS: TO RESIDENCE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-ARAB","Central",18,"NEAR NORTH SIDE",42,"BONA FIDE",NA,0
"560","JC432546","9/13/2019 12:00:00 AM","320","ROBBERY: STRONGARM - NO WEAPON","F - GENDER IDENTITY"," ANTI-TRANSGENDER NON-CONFORMING","North",14,"LOGAN SQUARE",35,"BONA FIDE",NA,1
"561","JC436061","9/16/2019 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","Central",2,"WASHINGTON PARK",4,"BONA FIDE",NA,1
"562","JC438111","9/17/2019 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","C - SEXUAL ORIENTATION"," ANTI-GAY/LESBIAN/BISEXUAL/TRANSGENDER (MIXED GROUP)","North",24,"ROGERS PARK",40,"BONA FIDE",NA,0
"563","JC450690","9/25/2019 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",19,"UPTOWN",46,"BONA FIDE",NA,1
"564","JC456863","9/25/2019 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-ASIAN","Central",1,"LOOP",4,"BONA FIDE",NA,1
"565","JC457627","10/2/2019 12:00:00 AM","430","BATTERY: AGGRAVATED: OTHER DANG WEAPON","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","Central",8,"CHICAGO LAWN",18,"BONA FIDE",NA,1
"566","JC464295","10/8/2019 12:00:00 AM","545","ASSAULT: PRO EMP HANDS NO/MIN INJURY","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",20,"EDGEWATER",48,"BONA FIDE",NA,1
"567","JC464360","10/8/2019 12:00:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","B - RELIGION"," ANTI-JEWISH","North",17,"IRVING PARK",31,"BONA FIDE",NA,0
"568","JC465784","10/9/2019 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",19,"LAKE VIEW",44,"BONA FIDE",NA,1
"569","JC468520","10/11/2019 12:00:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",20,"EDGEWATER",48,"BONA FIDE",NA,0
"570","JC473532","10/15/2019 12:00:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","B - RELIGION"," ANTI-OTHER RELIGION","Central",10,"LOWER WEST SIDE",25,"BONA FIDE",NA,0
"571","JC482326","10/22/2019 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","South",4,"SOUTH DEERING",7,"BONA FIDE",NA,1
"572","JC484878","10/17/2019 12:00:00 AM","560","ASSAULT: SIMPLE","F - GENDER IDENTITY"," ANTI-TRANSGENDER","North",19,"NORTH CENTER",47,"BONA FIDE",NA,1
"573","JC491898","10/25/2019 12:00:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","B - RELIGION"," ANTI-JEWISH","North",19,"NORTH CENTER",47,"BONA FIDE",NA,0
"574","JC499755","8/15/2019 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","Central",10,"NORTH LAWNDALE",24,"BONA FIDE",NA,1
"575","JC500381","10/25/2019 12:00:00 AM","5000","OTHER OFFENSE: OTHER CRIME AGAINST PERSON","C - SEXUAL ORIENTATION"," ANTI-LESBIAN","North",17,"NORTH PARK",39,"BONA FIDE",NA,0
"576","JC505373","11/10/2019 12:00:00 AM","1365","CRIMINAL TRESPASS: TO RESIDENCE","B - RELIGION"," ANTI-JEWISH","North",24,"WEST RIDGE",50,"BONA FIDE",NA,0
"577","JC514692","11/18/2019 12:00:00 AM","560","ASSAULT: SIMPLE","F - GENDER IDENTITY"," ANTI-TRANSGENDER","Central",18,"NEAR NORTH SIDE",42,"BONA FIDE",NA,1
"578","JC523647","11/24/2019 12:00:00 AM","560","ASSAULT: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","South",7,"ENGLEWOOD",16,"BONA FIDE",NA,1
"579","JC535937","12/5/2019 12:00:00 AM","460","BATTERY: SIMPLE","F - GENDER IDENTITY"," ANTI-TRANSGENDER","North",24,"ROGERS PARK",49,"BONA FIDE",NA,1
"580","JC546512","12/14/2019 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","B - RELIGION"," ANTI-JEWISH","Central",10,"NORTH LAWNDALE",24,"BONA FIDE",NA,0
"581","JC549201","12/15/2019 12:00:00 AM","2826","OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",1,"LOOP",42,"BONA FIDE",NA,0
"582","JC563270","11/18/2019 12:00:00 AM","2825","OTHER OFFENSE: HARASSMENT BY TELEPHONE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","Central",8,"GARFIELD RIDGE",23,"BONA FIDE",NA,0
"583","JD101236","12/24/2019 12:00:00 AM","2826","OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS","B - RELIGION"," ANTI-JEWISH","North",19,"LAKE VIEW",46,"BONA FIDE",NA,0
"584","JD117819","1/16/2020 12:00:00 AM","560","ASSAULT: SIMPLE","B - RELIGION"," ANTI-JEWISH","South",4,"CALUMET HEIGHTS",8,"BONA FIDE",NA,1
"585","JD118937","1/15/2020 12:00:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","B - RELIGION"," ANTI-JEWISH","North",24,"ROGERS PARK",49,"BONA FIDE",NA,0
"586","JD124403","1/22/2020 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","B - RELIGION"," ANTI-JEWISH","North",14,"LOGAN SQUARE",1,"BONA FIDE",NA,0
"587","JD131839","1/28/2020 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",19,"LAKE VIEW",44,"BONA FIDE",NA,1
"588","JD143565","2/6/2020 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",20,"LINCOLN SQUARE",40,"BONA FIDE",NA,1
"589","JD143665","2/7/2020 12:00:00 AM","460","BATTERY: SIMPLE","F - GENDER IDENTITY"," ANTI-TRANSGENDER","Central",18,"NEAR NORTH SIDE",42,"BONA FIDE",NA,1
"590","JD150658","2/13/2020 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","Central",18,"LINCOLN PARK",43,"BONA FIDE",NA,1
"591","JD151627","2/14/2020 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",18,"NEAR NORTH SIDE",42,"BONA FIDE",NA,1
"592","JD154028","2/15/2020 12:00:00 AM","460","BATTERY: SIMPLE","B - RELIGION"," ANTI-JEWISH","North",24,"WEST RIDGE",50,"BONA FIDE",NA,1
"593","JD156569","2/17/2020 12:00:00 AM","495","BATTERY: AGGRAVATED OF A SENIOR CITIZEN","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","North",19,"LAKE VIEW",44,"BONA FIDE",NA,1
"594","JD172854","3/3/2020 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",24,"ROGERS PARK",40,"BONA FIDE",NA,1
"595","JD175966","2/4/2020 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",19,"NORTH CENTER",47,"BONA FIDE",NA,1
"596","JD177594","3/7/2020 12:00:00 AM","051A","ASSAULT: AGGRAVATED: HANDGUN","C - SEXUAL ORIENTATION"," ANTI-GAY/LESBIAN/BISEXUAL/TRANSGENDER (MIXED GROUP)","South",6,"AUBURN GRESHAM",17,"BONA FIDE",NA,1
"597","JD179443","3/9/2020 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",24,"ROGERS PARK",49,"BONA FIDE",NA,1
"598","JD199121","3/31/2020 12:00:00 AM","1375","CRIMINAL DAMAGE: INSTITUTIONAL VANDALISM","B - RELIGION"," ANTI-OTHER CHRISTIAN","Central",18,"NEAR NORTH SIDE",2,"BONA FIDE",NA,0
"599","JD216272","4/16/2020 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-ARAB","Central",12,"WEST TOWN",1,"BONA FIDE",NA,1
"600","JD222561","5/2/2020 12:00:00 AM","2820","OTHER OFFENSE: TELEPHONE THREAT","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",16,"NORWOOD PARK",41,"BONA FIDE",NA,0
"601","JD223529","5/3/2020 12:00:00 AM","486","BATTERY: DOMESTIC BATTERY SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",24,"ROGERS PARK",49,"BONA FIDE",NA,1
"602","JD234609","5/17/2020 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-ASIAN","North",20,"UPTOWN",46,"BONA FIDE",NA,1
"603","JD239633","5/22/2020 12:00:00 AM","2826","OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","North",24,"ROGERS PARK",49,"BONA FIDE",NA,0
"604","JD241326","5/24/2020 12:00:00 AM","560","ASSAULT: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","Central",12,"WEST TOWN",26,"BONA FIDE",NA,1
"605","JD247834","5/30/2020 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","North",16,"EDISON PARK",41,"BONA FIDE",NA,1
"606","JD248484","5/31/2020 12:00:00 AM","110","HOMICIDE: FIRST DEGREE MURDER","F - GENDER IDENTITY"," ANTI-TRANSGENDER","Central",8,"CHICAGO LAWN",18,"BONA FIDE",NA,1
"607","JD249784","6/1/2020 12:00:00 AM","2851","PUBLIC PEACE VIOLATION: ARSON THREAT","A - RACE/ETHNICITY/ANCESTRY"," ANTI-ARAB","Central",8,"ASHBURN",13,"BONA FIDE",NA,1
"608","JD251528","6/2/2020 12:00:00 AM","041A","BATTERY: AGGRAVATED: HANDGUN","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","South",4,"SOUTH CHICAGO",10,"BONA FIDE",NA,1
"609","JD253891","6/2/2020 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","Central",8,"CHICAGO LAWN",15,"BONA FIDE",NA,1
"610","JD254497","6/5/2020 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","Central",18,"NEAR NORTH SIDE",27,"BONA FIDE",NA,1
"611","JD257590","6/8/2020 12:00:00 AM","2826","OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",9,"FULLER PARK",3,"BONA FIDE",NA,0
"612","JD261485","6/12/2020 12:00:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","North",14,"AVONDALE",35,"BONA FIDE",NA,0
"613","JD261486","6/12/2020 12:00:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","North",14,"AVONDALE",35,"BONA FIDE",NA,0
"614","JD262806","6/13/2020 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","North",11,"WEST GARFIELD PARK",28,"BONA FIDE",NA,1
"615","JD263641","6/14/2020 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",2,"GRAND BOULEVARD",3,"BONA FIDE",NA,0
"616","JD267756","6/17/2020 12:00:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","C - SEXUAL ORIENTATION"," ANTI-GAY/LESBIAN/BISEXUAL/TRANSGENDER (MIXED GROUP)","North",24,"ROGERS PARK",49,"BONA FIDE",NA,0
"617","JD271695","6/21/2020 12:00:00 AM","2820","OTHER OFFENSE: TELEPHONE THREAT","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","Central",1,"NEAR WEST SIDE",42,"BONA FIDE",NA,0
